,emoji,date,count
314,👏,2020-10-23,23
315,❤️,2020-10-23,58
316,😷,2020-10-23,85
317,👇,2020-10-23,36
318,🤣,2020-10-23,31
319,🙄,2020-10-23,34
320,😂,2020-10-30,74
321,🙏,2020-10-30,54
322,👍,2020-10-30,48
323,🤔,2020-10-30,42
324,👏,2020-10-30,23
325,❤️,2020-10-30,37
326,😷,2020-10-30,48
327,👇,2020-10-30,47
328,🤣,2020-10-30,33
329,🙄,2020-10-30,46
330,😂,2020-11-06,83
331,🙏,2020-11-06,51
332,👍,2020-11-06,44
333,🤔,2020-11-06,32
334,👏,2020-11-06,49
335,❤️,2020-11-06,31
336,😷,2020-11-06,38
337,👇,2020-11-06,42
338,🤣,2020-11-06,37
339,🙄,2020-11-06,31
340,😂,2020-11-13,82
341,🙏,2020-11-13,46
342,👍,2020-11-13,62
343,🤔,2020-11-13,56
344,👏,2020-11-13,33
345,❤️,2020-11-13,32
346,😷,2020-11-13,34
347,👇,2020-11-13,42
348,🤣,2020-11-13,46
349,🙄,2020-11-13,30
350,😂,2020-11-20,63
351,🙏,2020-11-20,39
352,👍,2020-11-20,40
353,🤔,2020-11-20,54
354,👏,2020-11-20,22
355,❤️,2020-11-20,31
356,😷,2020-11-20,30
357,👇,2020-11-20,37
358,🤣,2020-11-20,43
359,🙄,2020-11-20,33
360,😂,2020-11-27,60
361,🙏,2020-11-27,49
362,👍,2020-11-27,41
363,🤔,2020-11-27,41
364,👏,2020-11-27,24
365,❤️,2020-11-27,30
366,😷,2020-11-27,26
367,👇,2020-11-27,39
368,🤣,2020-11-27,39
369,🙄,2020-11-27,30
370,😂,2020-12-04,79
371,🙏,2020-12-04,45
372,👍,2020-12-04,48
373,🤔,2020-12-04,45
374,👏,2020-12-04,42
375,❤️,2020-12-04,40
376,😷,2020-12-04,46
377,👇,2020-12-04,41
378,🤣,2020-12-04,28
379,🙄,2020-12-04,28
380,😂,2020-12-11,84
381,🙏,2020-12-11,72
382,👍,2020-12-11,39
383,🤔,2020-12-11,44
384,👏,2020-12-11,34
385,❤️,2020-12-11,42
386,😷,2020-12-11,44
387,👇,2020-12-11,31
388,🤣,2020-12-11,50
389,🙄,2020-12-11,36
390,😂,2020-12-18,80
391,🙏,2020-12-18,64
392,👍,2020-12-18,62
393,🤔,2020-12-18,57
394,👏,2020-12-18,39
395,❤️,2020-12-18,39
396,😷,2020-12-18,44
397,👇,2020-12-18,27
398,🤣,2020-12-18,49
399,🙄,2020-12-18,53
400,😂,2020-12-25,91
401,🙏,2020-12-25,69
402,👍,2020-12-25,50
403,🤔,2020-12-25,51
404,👏,2020-12-25,22
405,❤️,2020-12-25,65
406,😷,2020-12-25,39
407,👇,2020-12-25,36
408,🤣,2020-12-25,44
409,🙄,2020-12-25,41
410,😂,2021-01-01,115
411,🙏,2021-01-01,104
412,👍,2021-01-01,57
413,🤔,2021-01-01,50
414,👏,2021-01-01,35
415,❤️,2021-01-01,42
416,😷,2021-01-01,85
417,👇,2021-01-01,51
418,🤣,2021-01-01,58
419,🙄,2021-01-01,61
420,😂,2021-01-08,108
421,🙏,2021-01-08,93
422,👍,2021-01-08,78
423,🤔,2021-01-08,59
424,👏,2021-01-08,48
425,❤️,2021-01-08,42
426,😷,2021-01-08,76
427,👇,2021-01-08,45
428,🤣,2021-01-08,55
429,🙄,2021-01-08,52
430,😂,2021-01-15,80
431,🙏,2021-01-15,59
432,👍,2021-01-15,53
433,🤔,2021-01-15,40
434,👏,2021-01-15,43
435,❤️,2021-01-15,45
436,😷,2021-01-15,60
437,👇,2021-01-15,48
438,🤣,2021-01-15,42
439,🙄,2021-01-15,37
440,😂,2021-01-22,70
441,🙏,2021-01-22,77
442,👍,2021-01-22,55
443,🤔,2021-01-22,54
444,👏,2021-01-22,38
445,❤️,2021-01-22,33
446,😷,2021-01-22,45
447,👇,2021-01-22,42
448,🤣,2021-01-22,27
449,🙄,2021-01-22,27
450,😂,2021-01-29,68
451,🙏,2021-01-29,87
452,👍,2021-01-29,61
453,🤔,2021-01-29,32
454,👏,2021-01-29,39
455,❤️,2021-01-29,41
456,😷,2021-01-29,47
457,👇,2021-01-29,26
458,🤣,2021-01-29,45
459,🙄,2021-01-29,34
460,😂,2021-02-05,48
461,🙏,2021-02-05,60
462,👍,2021-02-05,52
463,🤔,2021-02-05,32
464,👏,2021-02-05,26
465,❤️,2021-02-05,23
466,😷,2021-02-05,47
467,👇,2021-02-05,19
468,🤣,2021-02-05,33
469,🙄,2021-02-05,20
470,😂,2021-02-12,65
471,🙏,2021-02-12,55
472,👍,2021-02-12,47
473,🤔,2021-02-12,32
474,👏,2021-02-12,35
475,❤️,2021-02-12,54
476,😷,2021-02-12,40
477,👇,2021-02-12,32
478,🤣,2021-02-12,43
479,🙄,2021-02-12,30
480,😂,2021-02-19,63
481,🙏,2021-02-19,43
482,👍,2021-02-19,56
483,🤔,2021-02-19,42
484,👏,2021-02-19,23
485,❤️,2021-02-19,29
486,😷,2021-02-19,20
487,👇,2021-02-19,25
488,🤣,2021-02-19,42
489,🙄,2021-02-19,26
490,😂,2021-02-26,50
491,🙏,2021-02-26,42
492,👍,2021-02-26,39
493,🤔,2021-02-26,35
494,👏,2021-02-26,28
495,❤️,2021-02-26,28
496,😷,2021-02-26,16
497,👇,2021-02-26,25
498,🤣,2021-02-26,31
499,🙄,2021-02-26,30
500,😂,2021-03-05,50
501,🙏,2021-03-05,47
502,👍,2021-03-05,48
503,🤔,2021-03-05,28
504,👏,2021-03-05,26
505,❤️,2021-03-05,28
506,😷,2021-03-05,19
507,👇,2021-03-05,22
508,🤣,2021-03-05,47
509,🙄,2021-03-05,19
510,😂,2021-03-12,47
511,🙏,2021-03-12,36
512,👍,2021-03-12,42
513,🤔,2021-03-12,39
514,👏,2021-03-12,28
515,❤️,2021-03-12,28
516,😷,2021-03-12,35
517,👇,2021-03-12,18
518,🤣,2021-03-12,38
519,🙄,2021-03-12,27
520,😂,2021-03-19,148
521,🙏,2021-03-19,119
522,👍,2021-03-19,94
523,🤔,2021-03-19,73
524,👏,2021-03-19,72
525,❤️,2021-03-19,74
526,😷,2021-03-19,55
527,👇,2021-03-19,79
528,🤣,2021-03-19,60
529,🙄,2021-03-19,54
