,country,volume,cases,deaths,index,nn-score_avg,textblob-score_avg,vader-score_avg,native-score_avg
1198,Northern Ireland,11,0,1145,0,-0.27777777777777773,0.020441919191919178,0.07942222222222221,-0.3333333333333333
1199,Wales,73,0,1533,0,-0.1287640056022409,0.06700401604244391,-0.09724775035014008,0.2741596638655462
1200,England,664,1219,44358,0,0.06371477758352452,0.08295501655229807,0.030073109792299744,0.21796264790199366
1201,Scotland,143,57,1707,0,-0.016466973886328735,0.003926279319971723,-0.043834273937532,0.030865335381464402
1202,Northern Ireland,16,0,973,0,0.4666666666666666,0.0796733706108706,0.2094066666666667,0.3333333333333333
1203,Wales,66,0,1644,0,0.22596153846153846,0.06243370453331389,0.1440134615384615,0.3653846153846154
1204,England,544,1245,50741,0,0.140153036446891,0.10212178931601672,0.07484892296180523,0.31256906471486307
1205,Scotland,118,58,2160,0,0.07118460287340743,0.037757731575034696,-0.0042275499231950835,0.14312821902954728
1206,Northern Ireland,4,0,1052,0,0.3888888888888889,0.0595959595959596,0.23493333333333333,0.2777777777777778
1207,Wales,67,0,1808,0,0.05555555555555554,0.018803536355619675,0.04775254629629632,0.04629629629629628
1208,England,597,1322,37759,0,0.07374718676552824,0.06539419455695666,0.030923714075013844,0.11437415924861316
1209,Scotland,115,76,1753,0,0.1943244403118518,0.007996806720309264,-0.017150881672746355,0.04472498390673057
1210,Northern Ireland,4,0,705,0,-0.3333333333333333,0.3135532407407407,0.18085833333333334,0.3333333333333333
1211,Wales,70,0,1129,0,-0.37000000000000005,0.0915172100468975,-0.24203616666666666,-0.15166666666666664
1212,England,559,1320,35263,0,0.02099126455717545,0.07472258730596827,-0.016044257905576304,0.2153793361975558
1213,Scotland,95,43,1341,0,-0.07208463406174123,0.01066784918636411,0.053514430107526885,0.1484217828650711
1214,Northern Ireland,8,0,822,0,0.13333333333333333,0.22998015873015867,0.08712000000000002,0.26666666666666666
1215,Wales,63,0,1172,0,0.06891025641025644,0.04639082560957561,0.053836298076923056,0.2916666666666667
1216,England,562,1338,34134,0,-0.04160964914734369,0.05809402913632345,0.028232911759152778,0.10594777058943583
1217,Scotland,131,63,1429,0,0.15998463901689705,0.03466083102045801,-0.009603649001536107,0.23439324116743468
1218,Northern Ireland,9,0,640,0,0.16666666666666666,0.054628126503126484,-0.15564166666666668,0.16666666666666666
1219,Wales,66,0,1332,0,-0.19117647058823528,0.12884906543109664,-0.2009734068627451,-0.10784313725490197
1220,England,627,1444,30371,0,-0.061780069421397014,0.06693694374514993,-0.024578924372988042,0.17140454911621048
1221,Scotland,143,70,1165,0,0.09218963831867057,0.036739770547518875,0.03645048680351907,0.1286510263929619
1222,Northern Ireland,7,0,713,0,-0.16666666666666666,-0.0743907828282828,-0.2327625,-0.25
1223,Wales,68,0,1106,0,0.26,-0.12955866853054354,-0.12231799999999998,0.15
1224,England,588,1351,35061,0,0.08732083070416113,0.07971098277827303,0.073638129296151,0.14665069778819384
1225,Scotland,121,66,1656,0,-0.19435348332881539,0.0029714500139688665,-0.020023163097497073,-0.04229149724405892
1226,Northern Ireland,6,0,905,0,0.08333333333333333,-0.0031394675925925978,-0.07491666666666667,0.16666666666666666
1227,Wales,63,0,1283,0,0.3627450980392157,0.04286314753173995,0.059344117647058804,0.6715686274509804
1228,England,640,1290,34371,0,0.028066193911201166,0.0761681788629755,0.0015450010124201268,0.10579968214461691
1229,Scotland,114,57,1636,0,0.1935483870967742,0.09535434640111339,0.03468104838709676,0.14623655913978495
1230,Northern Ireland,6,0,732,0,-0.2777777777777778,0.03323713323713321,-0.09936666666666666,0.5
1231,Wales,58,0,1153,0,0.2181372549019608,0.03314057128533232,0.25112585784313723,0.14705882352941177
1232,England,648,1284,37115,0,0.09349583277544836,0.0896349101896097,0.05482904528015202,0.26789915791462565
1233,Scotland,111,67,1480,0,-0.033416046319272134,0.049850646304611355,-0.038730366004962775,0.14077750206782466
1234,Northern Ireland,11,0,865,0,0.16666666666666666,0.23872053872053867,-0.1644388888888889,0.5000000000000001
