,country,volume,deaths,cases,index,nn-score_avg,textblob-score_avg,vader-score_avg,native-score_avg
780,England,-1.0100882571070642,-0.8166891374787545,-0.34599060443459745,0,0.1537832733638824,0.08228409804679569,0.08339392585518271,0.4051020742112748
781,Scotland,-0.6164737380647285,-0.8048861954393015,0.16168197306496998,0,0.002298850574712643,0.033976388075526,-0.009478218390804595,0.07931034482758621
782,Northern Ireland,-1.0223787087267635,0.0,-0.12350067123966414,0,0.0,0.029611952861952836,-0.09884000000000003,-0.19999999999999998
783,Wales,-0.005470003302315967,-0.7077232655620713,-0.17966054668520998,0,-0.06565934065934066,0.03347667198253134,-0.03905631868131866,0.2947802197802198
784,England,-1.125080479877152,-0.8226963477171585,-0.4086729076657427,0,0.023856969209712774,0.038093041652084964,0.062312325470659735,0.16757975134234931
785,Scotland,-1.1811941252795786,-1.0130149833870141,0.34738024245015403,0,0.0038314176245210743,0.05656290083373417,0.027188122605363983,0.06130268199233716
786,Northern Ireland,-1.0223787087267635,0.0,1.4773925217409705,0,-0.13333333333333333,0.02444742063492063,0.09043333333333332,-0.19999999999999998
787,Wales,-0.09182622564951796,-0.9233531573142162,-0.10839421602776023,0,0.3819444444444444,0.11542886704345033,0.2021986111111111,0.23611111111111108
788,England,-1.1386089766736331,-0.8256999528363604,0.06690532480389343,0,0.06619881300732362,0.10294169835987611,0.14542992523434012,0.242026649473458
789,Scotland,-1.0815375863593109,-0.9089505894131579,0.3282897661582192,0,0.06609195402298852,0.02618157232560969,-0.005935775862068969,-0.02011494252873562
790,Northern Ireland,-1.141806448316697,0.0,0.9840802489410121,0,0.11111111111111112,0.04234126984126984,0.017380555555555566,0.2222222222222222
791,Wales,-0.48042922621192696,-0.4920933738099264,0.01854893545582213,0,0.215625,0.09980103443287036,0.07916385416666666,0.40104166666666663
792,England,-1.2163978332533985,-0.8767612398627939,0.898158141516922,0,-0.03635339118687872,0.05059007917654572,0.06349130319148936,0.12093189727324787
793,Scotland,-1.2144129715863343,-0.9089505894131579,0.31787677908989115,0,-0.02298850574712644,-0.003256330309901741,-0.06649220032840722,0.006568144499178982
794,Northern Ireland,-1.0223787087267635,0.0,0.3579531334641416,0,0.19999999999999998,0.10473154160654162,0.04195333333333334,0.26666666666666666
795,Wales,-0.437251115038326,-0.8514765267301679,-0.1418003085234398,0,-0.0952380952380952,0.05883062126365698,0.11651071428571425,0.0952380952380952
796,England,-1.081112865288589,-0.8256999528363604,0.05732886181024623,0,0.18126426522047628,0.05298598904549803,0.06129743461929303,0.20196481750005932
797,Scotland,-0.7493491232917521,-0.960982786400086,0.21201141056188902,0,0.04022988505747126,0.056027867922174665,0.0627580459770115,0.09770114942528735
798,Northern Ireland,-0.6640954899569624,0.0,0.7231939508256494,0,0.30952380952380953,0.18822246701710987,0.3524738095238096,0.0714285714285714
