date,county,country,nn-predictions_avg,nn-score_avg,vader-predictions_avg,vader-score_avg,textblob-predictions_avg,textblob-score_avg,native-predictions_avg,native-score_avg,id
2020-03-20,ANTRIM,Northern Ireland,0.06666666666666667,0.06666666666666667,0.0,-0.024353333333333317,0.26666666666666666,0.02349398749398749,-0.06666666666666667,-0.06666666666666667,90
2020-03-20,ARMAGH,Northern Ireland,0.0,0.0,0.5,0.42955,1.0,0.3361111111111111,0.0,0.0,91
2020-03-20,DOWN,Northern Ireland,1.0,1.0,0.5,0.31245,0.5,0.35,0.0,0.0,92
2020-03-20,FERMANAGH,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93
2020-03-20,LONDONDERRY,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94
2020-03-20,TYRONE,Northern Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95
2020-03-21,Bedfordshire,England,0.0,0.0,0.0,-0.04628750000000003,0.5,0.11196676587301585,0.25,0.25,0
2020-03-21,Berkshire,England,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.12705454545454548,0.45454545454545453,0.05667726370851369,0.45454545454545453,0.45454545454545453,1
2020-03-21,Buckinghamshire,England,0.0,0.0,0.0,-0.007599999999999996,-0.3333333333333333,-0.025531305114638452,0.0,0.0,2
2020-03-21,Cambridgeshire,England,-1.0,-1.0,-1.0,-0.6876,1.0,0.2752604166666667,1.0,1.0,3
2020-03-21,Cheshire,England,0.3684210526315789,0.3684210526315789,0.15789473684210525,0.03715263157894737,0.3157894736842105,0.12189185083921927,-0.15789473684210525,-0.15789473684210525,4
2020-03-21,Greater Manchester,England,-0.013333333333333334,-0.013333333333333334,0.06666666666666667,0.04073733333333333,0.14666666666666667,0.02732106381273048,0.06666666666666667,0.06666666666666667,5
2020-03-21,Hertfordshire,England,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.20653333333333335,-0.3333333333333333,-0.029629629629629634,1.0,1.0,6
2020-03-21,Northamptonshire,England,0.0,0.0,-1.0,-0.40380000000000005,-0.5,-0.0319444444444444,0.0,0.0,7
2020-03-21,Rutland,England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
2020-03-21,Nottinghamshire,England,0.7777777777777778,0.7777777777777778,0.0,0.19844444444444442,0.6666666666666666,0.19523809523809524,0.5555555555555556,0.5555555555555556,9
2020-03-21,Oxfordshire,England,0.2,0.2,-0.4,-0.19658000000000003,-0.6,-0.08888888888888889,1.0,1.0,10
2020-03-21,Shropshire,England,1.0,1.0,1.0,0.4186,1.0,0.3614583333333333,1.0,1.0,11
